"orgUnit","period","csb","net_p2","wealth_index","imp_water","imp_latrine","edu_prim","rotavirus","kitchen_outside","reimbursement","staff_support","chw_support","month_since_llin","build_density","twi_rice","elevation","stream_dist","csb_dist","fete_nationale","winter_season","summer_season","csb_type"
"FGM6Ric1YnC","201912","CSB2 AMBIABE",0.232526242864192,2.66938378838824,0.160555219982966,0.681300312968948,0.671782989279367,0.0798660927189395,0.192289698129503,0,0,1,16,6.66666666666667,8.62781498539158,478.633838667893,479.754699976328,7614.98976959998,0,0,1,"CSB2"
"mBZLeZ7Irx6","201912","CSB2 AMBOHIMANGA DU SUD",0.271675815787598,2.94650490767376,0.162435731533719,0.582227113132548,0.8002072671809,0.0579671248521589,0.24809481552317,1,1,0,16,15.5833333333333,8.91865938259513,604.497957019039,716.922308574769,6791.06458073887,0,0,1,"CSB2"
"WCqkkkKNJEi","201912","CSB1 AMBODIMANGA NORD",0.290700901596937,3.30262129550855,0.0906811666675733,0.497310926931493,0.908398273784869,0.0675107020318014,0.221872271332891,0,0,0,16,41.8,8.76458322412341,633.140762339765,842.527681989319,4690.9316352139,0,0,1,"CSB1"
"YCvVB1VwWi0","201912","CSB1 MAROMANANA",0.233338314798299,2.91261651655236,0.151002478825726,0.557201844052132,0.757339494623775,0.0583910642262474,0.205880146589995,0,0,0,16,23.8333333333333,8.66868091498134,660.492688197135,488.269052494937,6847.86395484976,0,0,1,"CSB1"
"D9UWDj19ljP","201912","CSB2 AMBOHIMIERA",0.193450496709095,2.60109242984524,0.14765379300804,0.585968081711814,0.707457101789223,0.0548954953744339,0.167346180514298,0,1,0,16,17.1,8.87465936304293,698.679298569867,478.925876921912,8729.68057341825,0,0,1,"CSB2"
"U1YeJp3NDNV","201912","CSB2 AMPASINAMBO",0.29792561455715,3.18193025963502,0.0246297924625358,0.59740862572088,0.897074920820655,0.0574443712338692,0.14864529748049,0,0,0,16,17.0625,8.92575938484654,730.761661338889,203.822223446096,8342.15659201675,0,0,1,"CSB2"
"hXuxS0MOq3b","201912","CSB2 ANALAMPASINA",0.236187921896409,3.1964361799773,0.188577104098195,0.492217597988943,0.88543273535899,0.0641679675522045,0.225202013979393,0,0,0,16,24.6666666666667,8.98905143231129,662.37689392944,605.13203730064,5453.02643937896,0,0,1,"CSB2"
"z6kDxHwInUT","201912","CSB2 ANDRORANGAVOLA",0.229893088933777,2.42026840166435,0.1407405192615,0.553999120190255,0.623713576941857,0.0715870788796376,0.235866674520851,0,1,0,16,6.79166666666667,8.86363732219183,327.984808628016,319.09124899632,7779.9593422556,0,0,1,"CSB2"
"h0z1bKoHDrU","201912","CSB1 MAHASOA",0.284310241644314,2.33288278911311,0.0959385936678485,0.453999898724227,0.749530211982315,0.0650475780509825,0.219842937842945,0,0,0,16,6.5,8.36080299441302,224.054043264245,408.092945672335,4027.49597247663,0,0,1,"CSB1"
"okDqhh9n4yT","201912","CSB2 ANTARETRA",0.269413996724944,3.04417328262631,0.23301722637601,0.79946197019327,0.7825595217711,0.0754170276620701,0.290333467902132,1,1,1,16,9.8,8.80376414355619,242.813149331428,288.635125946739,8094.93261124589,0,0,1,"CSB2"
"pczrAub8lnt","201912","CSB2 ANTSINDRA",0.246572804460522,2.62677551389144,0.0914543249796844,0.636086232893346,0.722418964351391,0.0566486581826707,0.262770545908137,0,0,0,16,14,8.82791155452434,391.877661490839,470.713580074275,8796.54727794204,0,0,1,"CSB2"
"EE6WwIMgQ0F","201912","CSB2 FASINTSARA",0.327738085967499,3.24115761934608,0.0548299932632306,0.488614849777373,0.909543632567468,0.0699234796844035,0.182289593942478,0,0,0,16,32.375,8.98867244027816,648.014800191517,353.861601916157,5279.10941020074,0,0,1,"CSB2"
"M38BJM8ju1A","201912","CSB1 AMBODIARA SUD",0.329192662288787,2.98664503763552,0.0559326683766471,0.531315914640093,0.775376575856926,0.058238115263762,0.202225288581554,0,1,0,16,45.25,8.69055130650909,619.150355251558,281.241392005096,4887.54131714281,0,0,1,"CSB1"
"O1wNJut8eci","201912","CSB2 IFANADIANA",0.344812706497954,3.74761024311321,0.372526070948351,0.788748683383568,0.870264232871988,0.113274545611683,0.314992893324909,1,1,1,16,10.8888888888889,8.86196997304004,459.684711710178,447.38084265739,5926.91473917878,0,0,1,"CSB2"
"RRe6ic0AU1Z","201912","CSB2 KELILALINA",0.271799971908794,3.40030221079257,0.210420733492681,0.750145837502618,0.834537617058689,0.0979536299120078,0.242833535865709,1,1,1,16,33.25,8.7547628729086,569.678644514402,512.965888713958,6426.76732658677,0,0,1,"CSB2"
"QHPyq70qulM","201912","CSB1 AMBALAVOLO",0.297719890230493,2.56566237738622,0.0445199182316967,0.392361019431052,0.726052017514084,0.0581668260054774,0.245558224118017,0,0,0,16,39.8,8.80046357133949,387.811149616073,326.801746824385,6208.96611513214,0,0,1,"CSB1"
"ZPvH8UsgwYv","201912","CSB2 MAROHARATRA",0.313719537171342,2.97759770206218,0.101901116264542,0.471350583075282,0.734662457652888,0.0694938806197647,0.235759535490443,0,0,0,16,36.0357142857143,8.93819737213145,551.261999124125,347.610053134285,7136.5735855492,0,0,1,"CSB2"
"DDR2w1c1GyE","201912","CSB2 MAROTOKO",0.244930224753299,2.32870109603582,0.0639845439843778,0.411804381633389,0.697401737158046,0.0540714341611873,0.23748961639979,0,0,0,16,10.3,8.73714252953916,255.495864798308,423.229723936897,9714.53013076759,0,0,1,"CSB2"
"r4U7PhBKR7S","201912","CSB2 RANOMAFANA",0.269541088783505,3.9031242591195,0.423725287531829,0.735381890367404,0.901509489468056,0.0815692366722832,0.281225430139972,1,1,1,16,31.25,8.86347419124383,632.370559262361,472.110907572553,7389.72545730893,0,0,1,"CSB2"
"uWoBok9YyvB","201912","CSB2 TSARATANANA",0.2304267216832,2.69144025746336,0.116330493688636,0.683442584379279,0.789221322226541,0.0604600504706834,0.211429934903673,1,1,1,16,13.1470588235294,8.76556745581118,390.711046817702,433.095614233824,10078.5189781723,0,0,1,"CSB2"
"Pi2y9HFBDRj","201912","CSB1 ANALAMARINA",0.225445210063025,2.45525843809533,0.0598628643805598,0.599335927380235,0.748273388281914,0.0484520042904886,0.169697096755196,0,0,0,16,7.83333333333333,8.81905693913841,505.131171699929,691.130057109938,7034.49898405298,0,0,1,"CSB1"
